12894489,doctrine/mongodb-odm,2013-04-07,2012-10-07,1754,165
13258430,capistrano/capistrano,2013-04-16,2012-10-16,51,51
22814728,Leaflet/Leaflet,2013-11-18,2013-05-18,3604,695
24996968,composer/composer,2014-01-03,2013-07-03,3963,486
27120442,mysqljs/mysql,2014-02-07,2013-08-07,726,134
30381958,PCSX2/pcsx2,2014-03-28,2013-09-28,5131,226
40463575,openzfs/zfs,2014-08-18,2014-02-18,2309,195
40896758,thoughtbot/factory_bot,2014-08-22,2014-02-22,782,17
47049745,scikit-learn/scikit-learn,2014-10-28,2014-04-28,17584,1393
57258770,hashicorp/vagrant,2015-02-11,2014-08-11,7225,824
60472468,rust-lang/rust,2015-03-10,2014-09-10,39798,7557
67171304,Automattic/mongoose,2015-04-08,2014-10-08,4790,553
74803435,Sonarr/Sonarr,2015-02-25,2014-08-25,6047,749
81567058,gabordemooij/redbean,2015-05-27,2014-11-27,2055,169
93644527,qbittorrent/qBittorrent,2015-07-07,2015-01-07,6065,526
102234932,npm/npm,2015-08-20,2015-02-20,6171,785
105880443,matplotlib/matplotlib,2015-09-10,2015-03-10,15655,1511
119063763,telegramdesktop/tdesktop,2015-11-26,2015-05-26,1035,510
119143420,rails/rails,2015-11-27,2015-05-27,56404,3272
120669472,doctrine/orm,2014-01-07,2013-07-07,8364,408
120671163,doctrine/orm,2015-05-08,2014-11-08,9817,822
124545273,composer/composer,2016-01-01,2015-07-01,5862,466
128495560,sparklemotion/nokogiri,2016-01-25,2015-07-25,3847,171
163697977,sparklemotion/nokogiri,2016-07-04,2016-01-04,3929,109
209725628,nextcloud/server,2017-02-23,2016-08-23,34455,1176
230340780,nvm-sh/nvm,2017-05-22,2016-11-22,1368,53
232455334,npm/npm,2017-05-31,2016-12-01,7641,429
235832393,Leaflet/Leaflet,2017-06-14,2016-12-14,6284,145
237547233,coleifer/peewee,2017-06-21,2016-12-21,2825,292
239227953,ansible/ansible,2017-06-28,2016-12-28,30926,3124
245325788,pallets/jinja,2017-07-25,2017-01-25,1723,57
249811390,gitextensions/gitextensions,2017-08-12,2017-02-12,8563,553
257408022,WedgeServer/wedge,2017-09-13,2017-03-13,1795,163
268049628,pypa/pipenv,2017-10-24,2017-04-24,2239,1562
