id,issue_id,project_name,startDate,endDate,count_before,count_halfyear,count_contributers_before,count_contributers_halfyear,count_before_nobot,count_halfyear_nobot
1,12894489,doctrine/mongodb-odm,2013-04-07T12:07:10Z,2021-09-07T08:23:56Z,1668,155,84,20,1668,155
2,13258430,capistrano/capistrano,2013-04-16T17:39:09Z,2019-09-25T13:11:18Z,50,50,2,2,50,50
3,22814728,Leaflet/Leaflet,2013-11-18T04:29:25Z,2018-02-09T08:23:05Z,3415,658,163,55,3415,658
4,24996968,composer/composer,2014-01-03T01:04:28Z,2015-04-13T11:41:09Z,3712,460,239,76,3712,460
5,27120442,mysqljs/mysql,2014-02-07T08:42:11Z,2015-01-08T21:11:46Z,701,128,50,25,701,128
6,30381958,PCSX2/pcsx2,2014-03-28T12:08:00Z,2022-06-19T17:13:57Z,44,44,3,3,44,44
7,40463575,openzfs/zfs,2014-08-18T07:56:21Z,2018-03-21T09:39:27Z,2134,195,4,2,2134,195
8,40896758,thoughtbot/factory_bot,2014-08-22T10:29:31Z,2020-04-12T15:06:51Z,727,16,37,3,726,16
9,47049745,scikit-learn/scikit-learn,2014-10-28T16:41:25Z,2016-11-20T05:15:00Z,15475,1347,226,74,15475,1347
10,57258770,hashicorp/vagrant,2015-02-11T00:12:16Z,2018-04-23T14:26:45Z,6990,777,361,92,6990,777
11,60472468,rust-lang/rust,2015-03-10T09:36:32Z,2021-02-25T15:07:28Z,38169,6852,786,401,38169,6852
12,67171304,Automattic/mongoose,2015-04-08T16:44:41Z,2020-01-21T09:00:40Z,4622,545,129,33,4622,545
13,74803435,Sonarr/Sonarr,2015-02-25T06:17:44Z,2019-05-03T16:43:34Z,5997,749,18,9,5997,749
14,81567058,gabordemooij/redbean,2015-05-27T18:28:17Z,2018-10-26T11:04:01Z,1043,15,29,3,1043,15
15,93644527,qbittorrent/qBittorrent,2015-07-07T22:32:11Z,2020-08-03T11:07:17Z,1762,513,63,23,1761,513
16,102234932,npm/npm,2015-08-20T20:54:19Z,2018-02-23T19:16:09Z,6143,788,24,9,6143,788
17,105880443,matplotlib/matplotlib,2015-09-10T19:23:18Z,2019-03-18T14:33:06Z,14899,1435,346,104,14899,1435
18,119063763,telegramdesktop/tdesktop,2015-11-26T15:25:11Z,2022-09-03T02:41:26Z,1028,504,10,9,1028,504
19,119143420,rails/rails,2015-11-27T07:09:12Z,2015-11-28T11:14:34Z,51548,3131,2206,324,51546,3131
20,120669472,doctrine/orm,2014-01-07T23:57:13Z,2021-08-23T10:27:05Z,3552,353,232,62,3552,353
21,120671163,doctrine/orm,2015-05-08T13:06:30Z,2018-01-25T11:56:57Z,4901,789,325,62,4901,789
22,124545273,composer/composer,2016-01-01T13:50:09Z,2018-04-04T22:15:27Z,5473,435,417,56,5473,435
23,128495560,sparklemotion/nokogiri,2016-01-25T09:32:14Z,2016-01-26T13:24:29Z,3731,168,100,16,3730,167
24,163697977,sparklemotion/nokogiri,2016-07-04T15:25:32Z,2016-07-11T11:56:16Z,3812,108,102,10,3811,108
25,209725628,nextcloud/server,2017-02-23T10:45:06Z,2022-03-17T15:49:44Z,25325,1168,333,26,23877,167
26,230340780,nvm-sh/nvm,2017-05-22T09:46:16Z,2018-09-27T01:29:38Z,1318,53,152,4,1290,50
27,232455334,npm/npm,2017-05-31T05:12:28Z,2018-07-08T20:17:46Z,7611,430,25,3,7611,430
28,235832393,Leaflet/Leaflet,2017-06-14T10:22:55Z,2022-02-07T13:40:04Z,5964,142,344,4,5913,129
29,237547233,coleifer/peewee,2017-06-21T14:08:34Z,2022-02-21T13:50:08Z,2605,162,71,5,2573,148
30,239227953,ansible/ansible,2017-06-28T16:50:58Z,2022-06-22T19:28:12Z,28405,3126,1170,33,26995,2341
31,245325788,pallets/jinja,2017-07-25T08:38:28Z,2020-01-15T17:51:56Z,1686,57,116,6,1655,32
32,249811390,gitextensions/gitextensions,2017-08-12T13:11:55Z,2020-06-09T04:27:35Z,6671,523,192,29,6472,388
33,257408022,WedgeServer/wedge,2017-09-13T14:44:31Z,2022-03-21T21:16:50Z,1724,155,99,12,1544,106
34,268049628,pypa/pipenv,2017-10-24T14:15:40Z,2022-06-16T01:11:00Z,2192,1544,73,52,1764,1280
35,271165698,PyCQA/pycodestyle,2017-11-04T04:28:42Z,2018-03-05T20:21:08Z,997,24,70,6,963,12
36,276835188,Homebrew/homebrew-bundle,2017-11-26T16:00:44Z,2018-02-05T09:06:22Z,426,35,32,5,355,18
37,284999235,ansible/ansible,2017-12-28T22:12:37Z,2022-03-26T16:03:14Z,31813,3430,1175,36,29353,2375
38,285132250,libretro/RetroArch,2017-12-29T18:00:37Z,2017-12-29T19:00:44Z,31746,1972,182,47,30275,1658
39,286791320,sparklemotion/nokogiri,2018-01-08T15:54:00Z,2018-01-29T13:20:37Z,4242,81,120,8,4195,78
40,286848335,json-schema-org/json-schema-spec,2018-01-08T18:52:41Z,2022-05-28T21:40:53Z,882,280,24,4,755,215
41,288780107,silverstripe/silverstripe-framework,2018-01-16T04:06:25Z,2018-01-16T22:31:44Z,11104,357,261,18,10208,134
42,294122809,microsoft/vscode,2018-02-03T16:12:05Z,2022-10-31T14:00:24Z,28671,6826,314,111,27400,6615
43,298311894,openzfs/zfs,2018-02-19T15:18:41Z,2018-02-20T22:46:35Z,4204,265,11,4,4081,243
44,299244712,npm/npm,2018-02-22T07:14:50Z,2018-02-22T18:49:07Z,8006,169,26,2,8005,169
45,299453048,npm/npm,2018-02-22T18:06:29Z,2018-02-22T21:16:24Z,8009,172,26,2,8008,172
